player,primary_owner_lane,notes
ATLAS,Research & prospect lists,"Thai GTM, Infra-AEO, Hawk-AEO"
PROMETHEUS,Provisioning & technical build,
SIENNA,White-label clean-up & audit,
CEDAR,RAG accuracy & early PMF signals,
ERIS,ASTROX + technical compliance & sovereignty,
GENE,Commercial / sales sequence,
Corey,Brand marketing,Specialist — no separate catalog primary_owner unless owns offer row
Harry,Stripe finance & connection,Specialist — no separate catalog primary_owner unless owns offer row
Carrie,Compliance paperwork & ongoing monitoring,Specialist — no separate catalog primary_owner unless owns offer row
Julie,Jurisdiction,Specialist — no separate catalog primary_owner unless owns offer row
