id,category,name,subtitle,price_band,description,live_url,use_cases,priority
01-aaas,Agentic Commerce & Agents-as-a-Service,AAAS +,Agents-as-a-Service platform,$40k–$75k,Full Agents-as-a-Service platform for agentic commerce,https://aaas.ml-nightworx.io,"agent workflows, multi-tenant agents, commerce orchestration",high
01-agency888,Agentic Commerce & Agents-as-a-Service,Agency888 +,Growth agency client portal and agentic-service platform,$25k–$48k,Growth agency portal + agentic service layer,,"client portals, agency automation",medium
02-dome,AI Knowledge Decision Support & Product Platforms,DOME +,AI knowledge translation and decision-support product,$90k–$160k,AI knowledge base + translation + decision support,,"enterprise knowledge, multilingual decision systems",high
02-rem,AI Knowledge Decision Support & Product Platforms,REM +,Premium product site and application shell,$18k–$35k,Premium product site + app shell,,"product launches, marketing sites",medium
02-lv2,AI Knowledge Decision Support & Product Platforms,LV2 +,Vertical SaaS product interface,$22k–$42k,Vertical SaaS interface,,"industry-specific SaaS front-ends",medium
02-moat,AI Knowledge Decision Support & Product Platforms,MOAT +,Competitive intelligence and positioning system,$28k–$55k,Competitive intelligence + positioning,,"market positioning, competitor monitoring",medium
03-oasis-prop,Asset Tokenisation & Property Management,OASIS PROPERTY +,Agentic property intelligence and brokerage platform,$45k–$90k,Agentic property intelligence + brokerage,,"real-estate agents, property intelligence",high
03-oasis-bridge,Asset Tokenisation & Property Management,OASISXDUAL BRIDGE — MISSION CONTROL +,Tokenised-property API and deployment operations console,$50k–$100k,Tokenised property API + ops console,,"tokenised real-estate APIs, ops control",high
03-oasis-ccc,Asset Tokenisation & Property Management,OASISXDUAL CCC +,Fractional real-estate investment and tokenised-property marketplace,$60k–$130k,Fractional RE investment + tokenised marketplace,,"fractional ownership, tokenised assets",high
04-som,AI Services Automation & Infrastructure Intelligence,SERVICE OUTSOURCING MATRIX +,AI disruption and outsourcing-opportunity intelligence tool,$25k–$55k,AI disruption + outsourcing opportunity tool,,"outsourcing strategy, AI impact analysis",medium
04-pmc,AI Services Automation & Infrastructure Intelligence,PROJECT MIGRATION CONTROL +,Commercial-to-open-source AI migration planning dashboard,$35k–$75k,Commercial to open-source AI migration planner,,"AI cost optimisation, migration planning",medium
04-infra-aeo,AI Services Automation & Infrastructure Intelligence,INFRA DOME AEO +,AI infrastructure value-chain discovery platform,$60k–$125k,AI infrastructure value-chain discovery,https://infra-aeo.ml-nightworx.io,"infra mapping, AEO, value-chain intelligence",high
04-infradome,AI Services Automation & Infrastructure Intelligence,INFRADOME +,AI infrastructure relationship intelligence platform,$55k–$110k,AI infrastructure relationship intelligence,https://infradome.ml-nightworx.io,"infra relationships, vendor intelligence",high
05-ntwx7,AI Governance Model Routing & Agent Operations,NTWX-7ARCH ROUTER PROTOCOL +,Governed multi-model routing and agent-authority framework,$50k–$120k,Governed multi-model routing + agent authority,,"model routing, agent governance, spend control",high
06-flowledger,Fintech Document Intelligence Trading & AI Governance,FLOWLEDGER AI +,Private financial-document intelligence and audit platform,$45k–$90k,Private financial document intelligence + audit,,"document AI, financial audit",medium
06-onos,Fintech Document Intelligence Trading & AI Governance,ONOS +,Crypto macro intelligence dashboard,$45k–$95k,Crypto macro intelligence dashboard,https://onos.ml-nightworx.io,"crypto macro, market intelligence, voice AI",high
06-onos-mk2,Fintech Document Intelligence Trading & AI Governance,ONOS MK2 — EXODIA +,Algorithmic crypto-trading operations system,$55k–$110k,Algorithmic crypto trading ops system,,"algo trading, crypto operations",high
06-mk3,Fintech Document Intelligence Trading & AI Governance,MK3-VICTOR +,Live crypto derivatives risk and execution-monitoring dashboard,$35k–$75k,Live crypto derivatives risk + execution monitor,,"derivatives risk, execution monitoring",medium
06-hitl,Fintech Document Intelligence Trading & AI Governance,HUMAN IN THE LOOP +,AI trading supervision and risk-governance explainer,$12k–$30k,AI trading supervision + risk governance explainer,,"HITL trading, risk education",medium
06-supervised,Fintech Document Intelligence Trading & AI Governance,SUPERVISED AI TRADING +,Human-in-the-loop trading-pod risk-governance framework,$20k–$50k,HITL trading-pod risk governance framework,,"supervised trading pods",medium
06-omni,Fintech Document Intelligence Trading & AI Governance,OMNITRADING — RETURNS PROJECTOR +,Interactive trading-return and capital-planning calculator,$10k–$25k,Interactive trading returns + capital planner,,"return projection, capital planning",low
06-payflow,Fintech Document Intelligence Trading & AI Governance,PAYFLOW +,Payments and transaction-flow interface,$35k–$70k,Payments + transaction flow interface,,"payment UX, transaction flows",medium
06-snapmargin,Fintech Document Intelligence Trading & AI Governance,SNAPMARGIN +,AI-driven invoice purchase-order and settlement command centre,$55k–$115k,AI invoice + PO + settlement command centre,,"invoice AI, settlement automation",high
07-legal777,Legal Compliance & Advisory,LEGAL777 +,Legal and compliance information product,$14k–$28k,Legal + compliance information product,,"compliance content, legal intel",low
08-hawk,Aerospace & Defence Intelligence,HAWK +,Aerospace and defence intelligence dashboard (NIGHTHAWK),$50k–$100k,Aerospace & defence intelligence dashboard,https://hawk.ml-nightworx.io,"defence intel, aerospace programs, live DELTA events, API access",highest
09-smartway,Trade Finance Education & Agent-Native Ecosystems,SMARTWAY EZYLEARNING — LEARN2EARN +,Trade-finance ISO 20022 and XDC blockchain learning platform,$30k–$70k,Trade finance + ISO 20022 + XDC learning platform,,"trade finance education, blockchain learning",medium
09-learn2earn,Trade Finance Education & Agent-Native Ecosystems,Learn 2 Earn — Ezy Learning Programs +,Multi-SBU agent-native infrastructure and orchestration hub,$45k–$90k,Multi-SBU agent-native orchestration hub,,"agent ecosystems, learning programs",medium
10-awareness,Personal Development & Creative Intelligence,WITH AWARENESS +,Personal-growth inspiration and reflective-creation platform,$25k–$60k,Personal growth + reflective creation platform,,"personal development, creative tools",low
11-proviz,AI Infrastructure Edge Compute & Hardware Procurement,PRO-VIZ MK1 +,Sovereign AI edge-server platform and OEM procurement program,$80k–$180k (ex hardware),Sovereign AI edge-server + OEM procurement,,"edge compute, sovereign hardware, OEM",high
